헤드라인,URL,작성시간,언론사,기자명,댓글수,공감_유익해요,공감_감동받았어요,공감_분석탁월해요,공감_놀랍네요,공감_추천해요
"수원 출신 리센느 리브, kt wiz 워터 페스티벌 시구…축제 시작 알렸다",https://m.entertain.naver.com/article/609/0001149306,2026-07-23 17:01:13,뉴스엔,김명미,0,0,0,0,0,0
"“나고 야~호” 리센느, ‘2026 아이치-나고야 AG’ 홍보 첫 콘텐츠 공개",https://m.entertain.naver.com/article/144/0001127743,2026-07-23 16:39:10,스포츠경향,이슬기 기자,0,0,0,0,0,0
"이정재, 황동혁 감독 정호연과 거제 ‘야호’…‘오징어게임’ 의리 지켰다",https://m.entertain.naver.com/article/609/0001149283,2026-07-23 15:58:17,뉴스엔,강민경,0,0,0,0,0,0
"‘오징어 게임’ 황동혁 감독·이정재, 정호연과 ‘호프 야호~’ [IS하이컷]",https://m.entertain.naver.com/article/241/0003521427,2026-07-23 15:57:50,일간스포츠,,0,0,0,0,0,0
"써클차트, 리센느·코르티스 2관왕",https://m.entertain.naver.com/article/144/0001127725,2026-07-23 15:12:11,스포츠경향,안병길 기자,0,0,0,0,0,0
"정일영 교수, 리센느 미나미에 “타국 생활, 얼마나 큰 용기인지 안다”…누리꾼 ‘울컥’",https://m.entertain.naver.com/article/144/0001127719,2026-07-23 14:52:08,스포츠경향,김감미 기자,0,0,0,0,0,0
"정일영, 유재석 만나고 오더니 묘비명 생겼다 “‘유퀴즈’서 뜨고 가다”(악성 내성인)",https://m.entertain.naver.com/article/609/0001149232,2026-07-23 14:48:19,뉴스엔,강민경,0,0,0,0,0,0
"이펙스 백승, K팝 팬덤 홀렸다…순수 비주얼 화제성 눈길",https://m.entertain.naver.com/article/144/0001127713,2026-07-23 14:25:12,스포츠경향,이민주 기자,0,0,0,0,0,0
"‘대세’ 리센느, MBC 아시안게임 홍보대사 위촉… “기쁘고 영광”",https://m.entertain.naver.com/article/241/0003521411,2026-07-23 14:25:14,일간스포츠,,0,0,0,0,0,0
"이펙스 백승, 리센느 이어 &#x27;갸루오&#x27; 변신..예능·드라마 열일 활약",https://m.entertain.naver.com/article/109/0005576484,2026-07-23 14:24:15,OSEN,김나연,0,0,0,0,0,0
